NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
1902560;2024;35914997;3548906;São Carlos;35;SP;2;1;1;3548906;São Carlos;35;SP;1;1;1;1;475.3;315.7;409;404.7;1;1;80;120;80;80;100;460
3041077;2024;15577058;1505304;Oriximiná;15;PA;2;1;1;1505304;Oriximiná;15;PA;1;1;1;1;449.1;339.4;357.7;393.6;0;1;120;40;40;120;20;340
3163103;2024;33178909;3303906;Petrópolis;33;RJ;4;1;1;3303906;Petrópolis;33;RJ;1;1;1;1;530.2;647.1;628.4;652;0;1;160;200;180;160;140;840
1880981;2024;NA;NA;;NA;;NA;NA;NA;2515401;São Vicente do Seridó;25;PB;1;1;1;1;376.4;449.5;433.7;509.7;0;1;160;180;160;160;80;740
2460337;2024;NA;NA;;NA;;NA;NA;NA;3205309;Vitória;32;ES;0;0;0;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
683373;2024;41130405;4106902;Curitiba;41;PR;2;1;1;4106902;Curitiba;41;PR;1;1;1;1;630;576.7;580.8;685;0;1;160;180;140;200;200;880
1330233;2024;35810794;3556453;Vargem Grande Paulista;35;SP;4;1;1;3556453;Vargem Grande Paulista;35;SP;1;1;1;1;612.2;543.4;539.6;631.9;1;1;120;140;120;140;40;560
1083723;2024;35100304;3550308;São Paulo;35;SP;4;1;1;3550308;São Paulo;35;SP;1;1;1;1;497.3;513.7;603.9;587;0;1;160;200;160;200;120;840
2668824;2024;29459010;2900801;Alcobaça;29;BA;2;2;1;2931350;Teixeira de Freitas;29;BA;1;1;1;1;495.2;463.5;438.9;466.4;0;1;100;120;100;180;80;580
1753899;2024;NA;NA;;NA;;NA;NA;NA;2925600;Presidente Dutra;29;BA;1;1;1;1;446.7;369.5;400.7;469.8;1;1;100;120;80;120;100;520
3290666;2024;NA;NA;;NA;;NA;NA;NA;3167202;Sete Lagoas;31;MG;0;0;0;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
2906351;2024;NA;NA;;NA;;NA;NA;NA;2927408;Salvador;29;BA;0;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA
727685;2024;NA;NA;;NA;;NA;NA;NA;1501402;Belém;15;PA;1;1;1;1;425.8;421;417.2;382.5;1;1;100;120;80;120;80;500
3720394;2024;NA;NA;;NA;;NA;NA;NA;2304103;Crateús;23;CE;1;1;1;1;507.2;599.5;530.1;452.7;0;1;120;180;120;140;40;600
1941788;2024;15175383;1504604;Mocajuba;15;PA;2;1;1;1504604;Mocajuba;15;PA;1;1;1;1;389.6;343;456;385.9;1;8;0;0;0;0;0;0
2846481;2024;NA;NA;;NA;;NA;NA;NA;3136702;Juiz de Fora;31;MG;1;1;1;1;605.7;575.8;586.1;729.2;0;1;100;120;120;120;140;600
1508183;2024;NA;NA;;NA;;NA;NA;NA;3549904;São José dos Campos;35;SP;1;1;1;1;533.2;491.6;542.8;616.7;0;1;160;180;160;180;200;880
260383;2024;NA;NA;;NA;;NA;NA;NA;2211001;Teresina;22;PI;0;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA
2433729;2024;29142229;2926103;Retirolândia;29;BA;2;1;1;2933000;Valente;29;BA;0;1;1;0;NA;363.6;456.2;NA;1;4;0;0;0;0;0;0
44745;2024;41024680;4115200;Maringá;41;PR;2;1;1;4115200;Maringá;41;PR;0;0;0;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
3007597;2024;21081646;2110005;Santa Luzia;21;MA;2;1;1;2110005;Santa Luzia;21;MA;0;0;0;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
181700;2024;27045234;2706703;Penedo;27;AL;2;1;1;2706703;Penedo;27;AL;1;1;1;1;374.4;460.1;499.9;504.5;1;1;120;140;120;120;140;640
2087653;2024;NA;NA;;NA;;NA;NA;NA;3205309;Vitória;32;ES;0;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA
2065927;2024;NA;NA;;NA;;NA;NA;NA;4301602;Bagé;43;RS;1;1;1;1;555.1;617.6;563.2;653.7;0;1;160;200;180;160;180;880
1937116;2024;25100459;2503001;Caaporã;25;PB;2;1;1;2503001;Caaporã;25;PB;0;0;0;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
1338145;2024;NA;NA;;NA;;NA;NA;NA;3106200;Belo Horizonte;31;MG;1;1;1;1;473.6;501.9;556;573;0;1;120;100;100;120;60;500
3898713;2024;NA;NA;;NA;;NA;NA;NA;4314407;Pelotas;43;RS;0;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA
4165745;2024;43119956;4316808;Santa Cruz do Sul;43;RS;2;1;1;4316808;Santa Cruz do Sul;43;RS;1;1;1;1;418;578.7;544.5;518.4;0;1;160;140;140;140;100;680
2222512;2024;41163656;4104907;Castro;41;PR;4;1;1;4104907;Castro;41;PR;1;1;1;1;577.6;635.5;613;643.1;0;1;120;200;140;140;140;740
